congress_member,sex,age,party,chamber
RepRickAllen,H,71,R,Rep
RepColinAllred,H,39,D,Rep
RepArmstrongND,H,46,R,Rep
RepArrington,H,50,R,Rep
RepAuchincloss,H,34,D,Rep
RepCindyAxne,F,57,D,Rep
RepBrianBabin,H,74,R,Rep
RepDonBacon,H,59,R,Rep
RepJimBaird,H,77,R,Rep
RepBalderson,H,60,R,Rep
RepJimBanks,H,43,R,Rep
RepAndyBarr,H,49,R,Rep
RepBarragan,F,46,D,Rep
RepKarenBass,F,69,D,Rep
RepBeatty,F,72,D,Rep
RepBera,H,57,D,Rep
RepDonBeyer,H,72,D,Rep
RepBice,F,49,R,Rep
RepAndyBiggsAZ,H,64,R,Rep
RepGusBilirakis,H,59,R,Rep
SanfordBishop,H,75,D,Rep
RepDanBishop,H,58,R,Rep
RepLBR,F,60,D,Rep
RepBoebert,F,36,R,Rep
RepBonamici,F,68,D,Rep
RepBost,H,62,R,Rep
RepBourdeaux,F,52,D,Rep
RepBowman,H,46,D,Rep
CongBoyle,H,45,D,Rep
RepKevinBrady,H,67,R,Rep
RepMoBrooks,H,68,R,Rep
RepAnthonyBrown,H,61,D,Rep
RepShontelBrown,F,47,D,Rep
RepBrownley,F,70,D,Rep
VernBuchanan,H,71,R,Rep
RepKenBuck,H,63,R,Rep
RepLarryBucshon,H,60,R,Rep
RepTedBudd,H,51,R,Rep
RepTimBurchett,H,58,R,Rep
michaelcburgess,H,72,R,Rep
RepCori,F,46,D,Rep
RepCheri,F,61,D,Rep
RepKatCammack,F,34,R,Rep
RepCarbajal,H,58,D,Rep
RepCardenas,H,59,D,Rep
RepMikeCarey,H,51,R,Rep
RepJerryCarl,H,64,R,Rep
RepAndreCarson,H,48,D,Rep
RepBuddyCarter,H,65,R,Rep
JudgeCarter,H,81,R,Rep
RepTroyCarter,H,59,D,Rep
RepEdCase,H,70,D,Rep
RepCasten,H,51,D,Rep
USRepKCastor,F,56,D,Rep
JoaquinCastrotx,H,48,D,Rep
RepCawthorn,H,27,R,Rep
RepSteveChabot,H,69,R,Rep
RepLizCheney,F,46,R,Rep
CongresswomanSC,F,43,D,Rep
RepJudyChu,F,69,D,Rep
RepKClark,F,59,D,Rep
RepYvetteClarke,F,58,D,Rep
repcleaver,H,78,D,Rep
RepBenCline,H,50,R,Rep
RepCloudTX,H,47,R,Rep
WhipClyburn,H,82,D,Rep
Rep_Clyde,H,59,R,Rep
RepCohen,H,73,D,Rep
TomColeOK04,H,73,D,Rep
RepJamesComer,H,50,R,Rep
GerryConnolly,H,72,D,Rep
RepLouCorrea,H,64,D,Rep
RepJimCosta,H,70,D,Rep
RepJoeCourtney,H,69,D,Rep
RepAngieCraig,F,50,D,Rep
RepCharlieCrist,H,66,D,Rep
RepJasonCrow,H,43,D,Rep
RepJohnCurtis,H,62,R,Rep
RepDavids,F,42,D,Rep
WarrenDavidson,H,52,R,Rep
RodneyDavis,H,52,R,Rep
RepDean,F,63,D,Rep
RepPeterDeFazio,H,75,D,Rep
RepDianaDeGette,F,65,D,Rep
rosadelauro,F,79,D,Rep
RepDelBene,F,60,D,Rep
repdelgado,H,45,D,Rep
RepValDemings,F,65,D,Rep
RepDeSaulnier,H,70,D,Rep
RepTedDeutch,H,56,D,Rep
MarioDB,H,61,R,Rep
RepDebDingell,F,69,D,Rep
RepLloydDoggett,H,76,D,Rep
RepDonaldsPress,H,44,R,Rep
USRepMikeDoyle,H,69,D,Rep
RepJeffDuncan,H,56,R,Rep
DrNealDunnFL2,H,69,R,Rep
RepTomEmmer,H,61,R,Rep
RepEscobar,F,53,D,Rep
RepAnnaEshoo,F,80,D,Rep
RepEspaillat,H,68,D,Rep
RepRonEstes,H,66,R,Rep
RepDwightEvans,H,68,D,Rep
RepPatFallon,H,55,R,Rep
RepFeenstra,H,53,R,Rep
RepDrewFerguson,H,56,R,Rep
RepFischbach,F,57,R,Rep
RepBrianFitz,H,49,R,Rep
RepChuck,H,60,R,Rep
RepFletcher,F,47,D,Rep
RepBillFoster,H,67,D,Rep
virginiafoxx,F,79,R,Rep
RepLoisFrankel,F,74,D,Rep
RepFranklin,H,58,R,Rep
RepRussFulcher,H,60,R,Rep
RepMattGaetz,H,40,R,Rep
RepGallagher,H,38,R,Rep
RepRubenGallego,H,43,D,Rep
RepGaramendi,H,77,D,Rep
RepGarbarino,H,38,D,Rep
RepChuyGarcia,H,66,D,Rep
RepMikeGarcia,H,46,R,Rep
RepSylviaGarcia,F,72,D,Rep
RepBobGibbs,H,68,R,Rep
RepCarlos,H,68,R,Rep
replouiegohmert,H,69,R,Rep
RepGolden,H,40,D,Rep
RepJimmyGomez,H,48,D,Rep
RepTonyGonzales,H,42,R,Rep
RepJenniffer,F,46,R,Rep
RepGonzalez,H,38,R,Rep
RepBobGood,H,57,R,Rep
Lancegooden,H,40,R,Rep
RepGosar,H,64,R,Rep
RepJoshG,H,47,D,Rep
RepKayGranger,F,79,R,Rep
RepGarretGraves,H,50,R,Rep
RepAlGreen,H,75,D,Rep
RepMarkGreen,H,58,R,Rep
RepMTG,F,48,R,Rep
RepMGriffith,H,64,R,Rep
RepRaulGrijalva,H,74,D,Rep
RepGrothman,H,67,R,Rep
RepMichaelGuest,H,52,R,Rep
RepGuthrie,H,58,R,Rep
RepJoshHarder,H,36,D,Rep
RepHarshbarger,F,62,R,Rep
RepHartzler,F,62,R,Rep
RepJahanaHayes,F,49,D,Rep
repkevinhern,H,61,R,Rep
RepHerrell,F,58,R,Rep
CongressmanHice,H,62,R,Rep
RepBrianHiggins,H,63,D,Rep
RepClayHiggins,H,61,R,Rep
RepFrenchHill,H,66,R,Rep
jahimes,H,56,D,Rep
RepAshleyHinson,F,39,R,Rep
RepHorsford,H,49,D,Rep
RepHoulahan,F,55,D,Rep
LeaderHoyer,H,83,D,Rep
RepRichHudson,H,51,R,Rep
RepHuffman,H,58,D,Rep
RepHuizenga,H,53,R,Rep
repdarrellissa,H,69,R,Rep
JacksonLeeTX18,F,72,D,Rep
RepRonnyJackson,H,55,R,Rep
RepJacobs,H,56,R,Rep
RepSaraJacobs,F,33,D,Rep
RepJayapal,F,57,D,Rep
RepJeffries,H,52,D,Rep
RepBillJohnson,H,68,R,Rep
RepDustyJohnson,H,46,R,Rep
RepEBJ,F,87,D,Rep
RepHankJohnson,H,68,D,Rep
RepMikeJohnson,H,50,R,Rep
RepMondaire,H,35,D,Rep
Jim_Jordan,H,58,R,Rep
RepDaveJoyce,H,65,R,Rep
RepJohnJoyce,H,65,R,Rep
RepJohnKatko,H,60,R,Rep
USRepKeating,H,70,R,Rep
RepFredKeller,H,57,R,Rep
MikeKellyPA,H,74,R,Rep
RepRobinKelly,F,66,D,Rep
RepRoKhanna,H,46,D,Rep
RepDanKildee,H,64,D,Rep
RepDerekKilmer,H,48,D,Rep
RepAndyKimNJ,H,40,D,Rep
RepYoungKim,F,60,R,Rep
RepRonKind,H,59,D,Rep
RepKirkpatrick,F,72,D,Rep
CongressmanRaja,H,49,D,Rep
RepAnnieKuster,F,66,D,Rep
RepDavidKustoff,H,56,R,Rep
RepLaHood,H,54,R,Rep
RepLaMalfa,H,62,R,Rep
JimLangevin,H,58,D,Rep
RepRickLarsen,H,57,D,Rep
RepJohnLarson,H,74,D,Rep
boblatta,H,66,R,Rep
RepLaTurner,H,34,R,Rep
RepLawrence,F,68,D,Rep
RepAlLawsonJr,H,74,D,Rep
RepBarbaraLee,F,76,D,Rep
RepSusieLee,F,56,D,Rep
RepTeresaLF,F,63,D,Rep
RepDLesko,F,64,R,Rep
RepJuliaLetlow,F,41,R,Rep
RepAndyLevin,H,62,D,Rep
RepMikeLevin,H,44,D,Rep
RepTedLieu,H,53,D,Rep
USRepLong,H,67,R,Rep
RepLoudermilk,H,59,R,Rep
RepLowenthal,H,81,D,Rep
RepFrankLucas,H,62,R,Rep
RepBlaine,H,70,R,Rep
RepElaineLuria,F,47,D,Rep
RepNancyMace,F,45,R,Rep
RepMalinowski,H,57,D,Rep
RepMalliotakis,F,42,R,Rep
RepMaloney,F,76,D,Rep
RepSeanMaloney,H,56,D,Rep
RepKManning,F,66,D,Rep
RepThomasMassie,H,51,R,Rep
RepBrianMast,H,42,R,Rep
DorisMatsui,F,78,D,Rep
RepLucyMcBath,F,62,D,Rep
GOPLeader,H,57,R,Rep
RepMcCaul,H,60,R,Rep
RepLisaMcClain,F,56,R,Rep
BettyMcCollum04,F,68,D,Rep
RepMcEachin,H,61,D,Rep
RepMcGovern,H,63,D,Rep
PatrickMcHenry,H,47,R,Rep
RepMcKinley,H,75,R,Rep
RepGregoryMeeks,H,69,D,Rep
RepMeijer,H,34,R,Rep
RepGraceMeng,F,47,D,Rep
RepMeuser,H,58,R,Rep
RepKweisiMfume,H,74,D,Rep
RepMMM,F,67,R,Rep
RepCarolMiller,F,72,R,Rep
RepMaryMiller,F,63,R,Rep
RepAlexMooney,H,51,R,Rep
RepBarryMoore,H,56,R,Rep
RepBlakeMoore,H,42,R,Rep
RepGwenMoore,F,71,D,Rep
RepJoeMorelle,H,65,D,Rep
RepMullin,H,45,R,Rep
RepGregMurphy,H,59,R,Rep
RepStephMurphy,F,44,D,Rep
RepJerryNadler,H,75,D,Rep
gracenapolitano,F,86,D,Rep
RepRichardNeal,H,73,D,Rep
RepJoeNeguse,H,38,D,Rep
RepTroyNehls,H,54,R,Rep
RepNewhouse,H,67,R,Rep
RepMarieNewman,F,58,D,Rep
DonaldNorcross,H,64,D,Rep
RepRalphNorman,H,69,R,Rep
EleanorNorton,F,85,D,Rep
RepOHalleran,H,76,D,Rep
JayObernolte,H,52,R,Rep
Ilhan,F,40,D,Rep
RepBurgessOwens,H,61,R,Rep
CongPalazzo,H,52,R,Rep
FrankPallone,H,61,D,Rep
USRepGaryPalmer,H,68,R,Rep
RepJimmyPanetta,H,53,D,Rep
RepChrisPappas,H,42,D,Rep
BillPascrell,H,85,D,Rep
RepDonaldPayne,H,64,D,Rep
SpeakerPelosi,F,80,D,Rep
RepPerlmutter,H,69,D,Rep
RepScottPeters,H,64,D,Rep
RepPfluger,H,45,R,Rep
RepDeanPhillips,H,53,D,Rep
chelliepingree,F,67,D,Rep
StaceyPlaskett,F,56,D,Rep
repmarkpocan,H,58,D,Rep
RepKatiePorter,F,48,D,Rep
RepPressley,F,48,D,Rep
RepDavidEPrice,H,82,D,Rep
RepMikeQuigley,H,64,D,Rep
RepRaskin,H,60,D,Rep
GReschenthaler,H,39,R,Rep
RepKathleenRice,F,57,D,Rep
RepTomRice,H,65,R,Rep
cathymcmorris,F,53,R,Rep
RepMikeRogersAL,H,64,R,Rep
RepJohnRose,H,57,R,Rep
RepRosendale,H,62,R,Rep
RepDeborahRoss,F,59,D,Rep
RepDavidRouzer,H,50,R,Rep
RepChipRoy,H,50,R,Rep
RepRoybalAllard,F,81,D,Rep
RepRaulRuizMD,H,50,D,Rep
Call_Me_Dutch,H,76,D,Rep
RepBobbyRush,H,76,D,Rep
RepTimRyan,H,49,D,Rep
Kilili_Sablan,H,67,D,Rep
RepMariaSalazar,F,61,R,Rep
RepLindaSanchez,F,53,D,Rep
RepSarbanes,H,60,D,Rep
SteveScalise,H,57,R,Rep
RepMGS,F,63,D,Rep
janschakowsky,F,78,D,Rep
RepAdamSchiff,H,62,D,Rep
RepSchneider,H,61,D,Rep
RepSchrader,H,71,D,Rep
RepKimSchrier,F,54,D,Rep
RepDavid,H,60,R,Rep
AustinScottGA08,H,53,R,Rep
BobbyScott,H,75,D,Rep
PeteSessions,H,67,R,Rep
RepTerriSewell,F,57,D,Rep
BradSherman,H,68,D,Rep
RepSherrill,F,50,D,Rep
CongMikeSimpson,H,72,R,Rep
RepSires,H,71,D,Rep
RepSlotkin,F,46,D,Rep
RepAdamSmith,H,57,D,Rep
RepAdrianSmith,H,52,R,Rep
RepJasonSmith,H,42,R,Rep
RepSmucker,H,58,R,Rep
RepDarrenSoto,H,44,D,Rep
RepSpanberger,F,43,D,Rep
RepSpartz,F,44,R,Rep
RepSpeier,F,72,D,Rep
Rep_Stansbury,F,43,D,Rep
RepGregStanton,H,52,D,Rep
RepPeteStauber,H,56,R,Rep
RepSteel,F,67,R,Rep
RepStefanik,F,38,R,Rep
RepBryanSteil,H,41,R,Rep
RepGregSteube,H,54,R,Rep
RepHaleyStevens,F,39,D,Rep
RepChrisStewart,H,61,R,Rep
RepStricklandWA,F,59,D,Rep
RepTomSuozzi,H,60,D,Rep
RepSwalwell,H,41,D,Rep
RepMarkTakano,H,61,D,Rep
claudiatenney,F,60,R,Rep
BennieGThompson,H,73,D,Rep
RepThompson,H,62,R,Rep
RepTiffany,H,64,R,Rep
RepTimmons,H,37,R,Rep
repdinatitus,F,71,D,Rep
RepRashida,F,45,D,Rep
RepPaulTonko,H,72,D,Rep
NormaJTorres,F,56,D,Rep
RepRitchie,H,33,D,Rep
RepLoriTrahan,F,48,D,Rep
RepDavidTrone,H,66,D,Rep
RepMikeTurner,H,61,R,Rep
RepUnderwood,F,35,D,Rep
RepDavidValadao,H,44,R,Rep
RepBethVanDuyne,F,51,R,Rep
RepJuanVargas,H,60,D,Rep
RepVeasey,H,51,D,Rep
NydiaVelazquez,F,68,D,Rep
RepAnnWagner,F,59,R,Rep
RepWalberg,H,70,R,Rep
RepWalorski,F,59,R,Rep
michaelgwaltz,H,47,R,Rep
RepDWStweets,F,55,D,Rep
RepBonnie,F,76,D,Rep
RepWebster,H,72,R,Rep
PeterWelch,H,75,D,Rep
RepWesterman,H,55,R,Rep
RepWexton,F,53,D,Rep
RepSusanWild,F,64,D,Rep
RepNikema,F,43,D,Rep
RepRWilliams,H,73,R,Rep
RepWilson,H,75,R,Rep
RepJoeWilson,H,75,R,Rep
RobWittman,H,63,R,Rep
rep_stevewomack,H,65,R,Rep
RepJohnYarmuth,H,75,R,Rep
RepLeeZeldin,H,42,R,Rep
